"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","200","POST — crear usuario","firefox","2026-08-23","passed","2026-08-23","API Testing — JSONPlaceholder","api.spec.js","",""
"","966","TC-003: campos vacíos","firefox","2026-08-23","passed","2026-08-23","Login - Swag Labs","login.spec.js","",""
"","1127","página de catálogo — documenta violaciones conocidas","chromium","2026-08-23","passed","2026-08-23","Accessibility Testing — Swag Labs","accessibility.spec.js","",""
"","1890","página carga correctamente","firefox","2026-08-23","passed","2026-08-23","Portfolio Web — jpurtu","portfolio.spec.js","",""
"","1225","Flujo completo: login y agregar producto al carrito","chromium","2026-08-23","passed","2026-08-23","","cart.spec.js","",""
"","921","catálogo de productos mantiene apariencia","chromium","2026-08-23","passed","2026-08-23","Visual Regression — Swag Labs","visual.spec.js","",""
"","1383","página de login mantiene apariencia","chromium","2026-08-23","passed","2026-08-23","Visual Regression — Swag Labs","visual.spec.js","",""
"","570","TC-002: login inválido","chromium","2026-08-23","passed","2026-08-23","Login - Swag Labs","login.spec.js","",""
"","1142","TC-001: login válido","chromium","2026-08-23","passed","2026-08-23","Login - Swag Labs","login.spec.js","",""
"","250","PUT — actualizar usuario","firefox","2026-08-23","passed","2026-08-23","API Testing — JSONPlaceholder","api.spec.js","",""
"","1845","Flujo completo: login y agregar producto al carrito","firefox","2026-08-23","passed","2026-08-23","","cart.spec.js","",""
"","1857","página carga correctamente","chromium","2026-08-23","passed","2026-08-23","Portfolio Web — jpurtu","portfolio.spec.js","",""
"","2041","página de catálogo — documenta violaciones conocidas","firefox","2026-08-23","passed","2026-08-23","Accessibility Testing — Swag Labs","accessibility.spec.js","",""
"","1075","TC-002: login inválido","firefox","2026-08-23","passed","2026-08-23","Login con POM","login.pom.spec.js","",""
"","1645","no hay errores en consola","chromium","2026-08-23","passed","2026-08-23","Portfolio Web — jpurtu","portfolio.spec.js","",""
"","1159","TC-001: login válido","chromium","2026-08-23","passed","2026-08-23","Login con POM","login.pom.spec.js","",""
"","1600","página de login mantiene apariencia","firefox","2026-08-23","passed","2026-08-23","Visual Regression — Swag Labs","visual.spec.js","",""
"","409","POST — crear usuario","chromium","2026-08-23","passed","2026-08-23","API Testing — JSONPlaceholder","api.spec.js","",""
"","1824","screenshot de referencia","firefox","2026-08-23","passed","2026-08-23","Portfolio Web — jpurtu","portfolio.spec.js","",""
"","1271","links internos no están rotos","chromium","2026-08-23","passed","2026-08-23","Portfolio Web — jpurtu","portfolio.spec.js","",""
"","491","TC-002: login inválido","chromium","2026-08-23","passed","2026-08-23","Login con POM","login.pom.spec.js","",""
"","112","GET — obtener usuario por ID","chromium","2026-08-23","passed","2026-08-23","API Testing — JSONPlaceholder","api.spec.js","",""
"","1640","TC-001: login válido","firefox","2026-08-23","passed","2026-08-23","Login - Swag Labs","login.spec.js","",""
"","1442","TC-001: login válido","firefox","2026-08-23","passed","2026-08-23","Login con POM","login.pom.spec.js","",""
"","982","TC-002: login inválido","firefox","2026-08-23","passed","2026-08-23","Login - Swag Labs","login.spec.js","",""
"","318","DELETE — eliminar usuario","firefox","2026-08-23","passed","2026-08-23","API Testing — JSONPlaceholder","api.spec.js","",""
"","108","GET — obtener usuario por ID","firefox","2026-08-23","passed","2026-08-23","API Testing — JSONPlaceholder","api.spec.js","",""
"","252","GET — obtener lista de usuarios","firefox","2026-08-23","passed","2026-08-23","API Testing — JSONPlaceholder","api.spec.js","",""
"","1777","catálogo de productos mantiene apariencia","firefox","2026-08-23","passed","2026-08-23","Visual Regression — Swag Labs","visual.spec.js","",""
